condition,stim,resp.keys,resp.corr,resp.rt
incongruent,X,m,1,1.4660614
congruent,X,m,1,0.8612724
incongruent,O,z,1,0.6480258
congruent,O,z,1,0.5875309
incongruent,X,m,1,0.8371636
congruent,X,m,1,0.4970893
incongruent,O,z,1,0.7752867
congruent,O,z,1,0.6671982
incongruent,X,m,1,0.5293326
congruent,X,m,1,0.4547599
incongruent,O,z,1,0.5792589
congruent,O,z,1,0.6405415
incongruent,X,m,1,0.7025439
congruent,X,m,1,1.0231931
incongruent,O,z,1,0.7344107
congruent,O,z,1,0.5344626
incongruent,X,m,1,0.5383393
congruent,X,m,1,0.6302327
incongruent,O,z,1,0.56963
congruent,O,z,1,0.6148837
incongruent,X,m,1,0.6920826
congruent,X,m,1,0.6066691
incongruent,O,z,1,0.585896
congruent,O,z,1,0.6032379
incongruent,X,m,1,0.823794
congruent,X,m,1,0.8929244
incongruent,O,z,1,0.5367851
congruent,O,z,1,0.768826
incongruent,X,m,1,0.6075169
congruent,X,m,1,0.5289117
incongruent,O,z,1,0.6293168
congruent,O,z,1,0.6342057
incongruent,X,m,1,0.6199617
congruent,X,m,1,0.6306853
incongruent,O,z,1,0.6203852
congruent,O,z,1,0.6400619
incongruent,X,m,1,0.5753188
congruent,X,m,1,0.6595604
incongruent,O,z,1,0.5099401
congruent,O,z,1,0.8292243
