condition,stim,resp.keys,resp.corr,resp.rt
incongruent,X,m,1,1.0800334
congruent,X,m,1,0.3593151
incongruent,O,z,1,0.3052646
congruent,O,z,1,0.4823147
incongruent,X,m,1,0.5145052
congruent,X,m,1,0.3486198
incongruent,O,z,1,0.2929537
congruent,O,z,1,0.2693316
incongruent,X,m,1,0.3591992
congruent,X,m,1,0.3279642
incongruent,O,z,1,0.320131
congruent,O,z,1,0.457807
incongruent,X,z,0,0.2586254
congruent,X,m,1,0.3864327
incongruent,O,z,1,0.3374577
congruent,O,z,1,0.4351875
incongruent,X,m,1,0.3225755
congruent,X,m,1,0.6826726
incongruent,O,z,1,0.2606908
congruent,O,z,1,0.3819671
incongruent,X,m,1,0.3187888
congruent,X,m,1,0.3669163
incongruent,O,z,1,0.3196715
congruent,O,None,0,
incongruent,X,m,1,0.8009969
congruent,X,m,1,0.5956423
incongruent,O,z,1,0.2831443
congruent,O,z,1,0.1958788
incongruent,X,m,1,0.3663322
congruent,X,m,1,0.4542187
incongruent,O,z,1,0.2402636
congruent,O,z,1,0.3447475
incongruent,X,m,1,0.3373964
congruent,X,m,1,0.8748056
incongruent,O,z,1,0.3718268
congruent,O,z,1,0.3169607
incongruent,X,m,1,0.3103886
congruent,X,m,1,0.2558435
incongruent,O,z,1,0.4167923
congruent,O,z,1,0.2656926
