condition,stim,resp.keys,resp.corr,resp.rt
incongruent,X,None,0,
congruent,X,m,1,1.3247254
incongruent,O,z,1,0.397524
congruent,O,z,1,0.2700671
incongruent,X,m,1,0.4082492
congruent,X,m,1,0.4732156
incongruent,O,z,1,0.2831179
congruent,O,z,1,0.154809
incongruent,X,m,1,0.3967386
congruent,X,m,1,0.3093355
incongruent,O,z,1,0.3027372
congruent,O,z,1,0.2569805
incongruent,X,m,1,0.3303048
congruent,X,m,1,0.2832385
incongruent,O,z,1,0.3799938
congruent,O,z,1,0.2687495
incongruent,X,m,1,0.39079
congruent,X,m,1,0.318777
incongruent,O,z,1,0.2567409
congruent,O,z,1,0.169584
incongruent,X,m,1,0.3796157
congruent,X,m,1,0.3714876
incongruent,O,z,1,0.3414839
congruent,O,z,1,0.4686782
incongruent,X,m,1,0.2861611
congruent,X,m,1,0.1436375
incongruent,O,z,1,0.3526938
congruent,O,z,1,0.2342246
incongruent,X,m,1,0.2921858
congruent,X,m,1,0.2369314
incongruent,O,z,1,0.3095814
congruent,O,z,1,0.3590188
incongruent,X,m,1,0.2643199
congruent,X,m,1,0.1527655
incongruent,O,z,1,0.2910069
congruent,O,z,1,0.4999148
incongruent,X,m,1,0.3655739
congruent,X,m,1,0.2222323
incongruent,O,z,1,0.2635154
congruent,O,z,1,0.3524808
