condition,stim,resp.keys,resp.corr,resp.rt
incongruent,X,m,1,0.916329
congruent,X,m,1,0.452326
incongruent,O,z,1,0.2856237
congruent,O,z,1,0.2869924
incongruent,X,z,0,0.2166398
congruent,X,m,1,0.2575452
incongruent,O,z,1,0.4184189
congruent,O,z,1,0.2357001
incongruent,X,m,1,0.3491556
congruent,X,m,1,0.2780021
incongruent,O,z,1,0.4323594
congruent,O,z,1,0.2654687
incongruent,X,z,0,0.1859676
congruent,X,m,1,0.1794795
incongruent,O,z,1,0.332926
congruent,O,z,1,0.3254727
incongruent,X,m,1,0.3423569
congruent,X,m,1,0.2716983
incongruent,O,z,1,0.321041
congruent,O,z,1,0.3384801
incongruent,X,m,1,0.3491679
congruent,X,m,1,0.2612859
incongruent,O,z,1,0.3749271
congruent,O,m,0,0.2638278
incongruent,X,m,1,0.4810107
congruent,X,m,1,0.3943934
incongruent,O,z,1,0.3545685
congruent,O,z,1,0.4127961
incongruent,X,m,1,0.39768
congruent,X,m,1,0.342433
incongruent,O,z,1,0.3924011
congruent,O,z,1,0.2661801
incongruent,X,m,1,0.3385259
congruent,X,m,1,0.1806459
incongruent,O,z,1,0.3090986
congruent,O,z,1,0.2865806
incongruent,X,m,1,0.3031609
congruent,X,m,1,0.2725891
incongruent,O,z,1,0.3063663
congruent,O,z,1,0.419206
